Stimme zu;Bäume spielen beim Klimaschutz eine gewichtige Rolle. Zugleich sind sie natürliche Lebensräume mitten in der Stadt. Wir setzen uns schon jetzt dafür ein, dass Bäume, wenn sie gefällt werden müssen, möglichst schnell nachgepflanzt werden. Uns ist es ein wichtiges Anliegen die Zahl der Bäume im Stadtgebiet zu erhöhen.
Stimme zu;Der Erhalt der Grünfinger und weiterer Kaltuftschneisen ist uns ein besonders wichtiges Anliegen. Deshalb berücksichtigen wir diese im Rahmen des aktuellen Verfahrens zur Aufstellung des neuen Flächennutzungsplans.
Stimme zu;Die Verpachtung städtischer Flächen unter dem Aspekt der Bionutzung ist in Aachen bereits Standard. Daran wollen wir festhalten.
Stimme nicht zu;Schon heute wird bei der Pflege städtischer Grünflächen großer Wert auf die Aspekte des Umwelt- und Naturschutzes gelegt. Für das Verbot von Pestiziden und Kunstdüngern auf privaten Flächen sehen wir keine gesetzliche Grundlage.
Stimme nicht zu;Wir setzen uns dafür ein, dass in den Kantinen, Schul- und Kita-Küchen sowie in ähnlichen städtischen Einrichtungen mindestens eine vegetarische Alternative angeboten wird. Aus sozialpolitischer Sicht ist es uns wichtig, die Preise für das Essen in Kantinen, Schul und Kita-Küchen sowie ähnlichen städtischen Einrichtungen auf einem angemessenen Niveau zu halten, um gerade Menschen mit geringen finanziellen Möglichkeiten weiterhin die Teilnahme am gemeinschaftlichen Essen zu ermöglichen.
Stimme zu;Wir setzen uns dafür ein, dass auch in forstwirtschaftlich genutzten Waldbereichen die Grundlage für eine gesunde Biodiversität erhalten wird. Dazu kann auch das Belassen von liegendem und stehendem Totholz in diesen Bereichen beitragen.
Stimme zu;In den letzten Jahren erleben wir in der Privatwirtschaft ein erhöhtes Maß an Kreativität und Engagement hinsichtlich des Angebots an regionalen und nach ökologischen Standards erzeugten Produkten. Diese Entwicklung begrüßen wir ausdrücklich.
Stimme zu;Eine Reduktion des Abfallaufkommens trägt nicht nur zum Umwelt- und Klimaschutz bei. Sie entlastet zugleich die öffentlichen Haushalte durch eine Verringerung der im Rahmen der öffentlichen Abfallentsorgung verursachten Kosten. Eine Reduktion des Abfallaufkommens ist daher langfristig abzustimmen.
um die Hälfte;Recycling trägt zum Umwelt- und Klimaschutz bei. Zugleich werden auf diese Rohstoffe geschaffen, die die Basis neuer Wertschöpfungsprozesse bilden. Die Möglichkeiten der Kommunalpolitik zur Steigerung der allgemeinen Recyclingquote sehen wir jedoch als sehr beschränkt an.
Stimme zu;Die Schaffung von öffentlichen Trinkbrunnen wurde bereits beschlossen. Wir freuen uns auf die Umsetzung.
Stimme zu;Wir halten es für sinnvoll mit den Vertretern Einzelhandel auch über Nachhaltigkeit zu sprechen. Wir begrüßen zudem, dass der Einzelhandel in den letzten Jahren die steigende Nachfrage nach sowohl aus ökologischer als auch aus sozialer Sicht nachhaltigen Produkten erkannt und sein Angebot dementsprechend fortlaufend anpasst.
