Stimme zu;Autofreie Stadtquartiere können den Menschen als spannende Experimentierräume für eine nachhaltige Stadt dienen. Durch Transparenz und Bürgerbeteiligung sowie eine intelligente Anbindung an den ÖPNV können sie den Mehrwert einer autofreien Stadt ideal demonstrieren.
Stimme zu;Die Baubranche ist der größte Müllverursacher in unserer Gesellschaft und hat einen sehr hohen CO2-Ausstoß. Deshalb sollte immer Bestandsentwicklung vor Neubau gelten und der Freiflächenverbrauch durch Verminderung von Leerstand und intelligente Nachverdichtung so weit wie möglich reduziert werden. Dazu sollten im Bausektor auch was die Materialauswahl und die Beschaffung der Materialien angeht die Ansätze von cradle-to-cradle stärkere Beachtung finden.
Stimme zu;Eine Abkehr von Erdgas zur Wärmegewinnung sollte schnellstmöglich erfolgen, da seine Förderung und der Transport immense CO2-Emissionen bedeuten. Eine Förderung zur Umstellung auf Wärmepumpen,Holzpellets o. Ä. ist in Kombination mit einer Reduktion des Heizbedarfs unabdingbar.
Stimme zu;Den Einsatz von Beton würden wir nicht grundsätzlich untersagen, weil es zukunftsweisende Forschungen zur Entwicklung von nachhaltigem Beton unterbinden könnte. Außerdem darf der Einsatz von Holz im Bau  nicht zur Abholzung und Zerstörung von Ökosystemen beitragen, sondern das Holz nachhaltig erwirtschaftet werden. Eine generelle Reduzierung des regulären Betoneinsatzes unterstützen wir, ebenso wie alle anderen obrigen Punkte.
Stimme zu;Bäume leisten einen wertvollen Beitrag zum Stadtklima und der innerstädtischen Biodiversität. Deshalb setzen wir uns für eine Verbesserung der Baumschutzsatzung ein, bzw. für eine grundlegend neue, weniger isolierte Herangehensweise im Sinne einer Stadtnatur-Satzung. Dadurch könnte das gesamte Grünflächen-Management der Stadt miteinbezogen und ökologisch-wertvoller gestaltet werden.
Stimme zu;Bauvorhaben wurden zu lange aus rein ökonomischen Gesichtspunkten betrachtet, eine verpflichtende Betrachtung und Bewertung auf die stadtklimatischen und ökologischen Einflüsse ist unabdingbar und sollte zukünftig immer in die Entscheidungsprozesse zum Bau miteinfließen. Daher setzen wir uns auch für den Ausbau der innerstädtischen Grünflächen und die Wiederoffenlegung der städtischen (heute verrohrten) Gewässer ein.
Stimme zu;Ausgelöst durch falsche politische Impulse betreibt die konventionelle Landwirtschaft seit zu vielen Jahren ökonomisierte Ausbeutung an der Natur und trägt stark zur Gewässerverschmutzung, dem Artensterben und der zunehmenden Degradation der Böden bei. Deshalb setzen wir uns für ein Umdenken ein und fördern den oben genannten Ansatz der ökologischen Bewirtschaftung.
Stimme zu;Um die Ökosysteme der Stadt zu schützen, muss der Einsatz von Pestiziden und Kunstdünger zurückgehen. Stattdessen sollte auf nachhaltige Pflanz- und Pflegekonzepte gesetzt werden.
Stimme zu;In vielen Kantinen und Mensen prägen noch fleischlastige Gerichte das tägliche Menü. So wird den Menschen, die eine Ernährungsumstellung aus klimatischen oder ethischen Gründen anstreben, diese Umstellung erschwert. Dasselbe gilt für regionale und ökologische Produkte. Deshalb setzen wir uns für eine Umstellung der Essenspläne ein, um einen nachhaltigen Gesellschaftswandel zu unterstützen. Dieses System könnte weiter gestärkt werden, indem die groben CO2-Emissionen des jeweiligen Produktes mitangegeben werden, um den Konsumenten die Auswahl weiter zu erleichtern.
Stimme zu;Totholz bietet eine Lebensgrundlage für viele Tier- und Pflanzenarten und ist deshalb ein dringend benötigter Bestandteil nachhaltiger Forstwirtschaft. Um die Biodiversität und das ökologische Gleichgewicht in Wäldern zu fördern, setzen wir uns für eine Erhöhung von Totholz in Wäldern ein.
Stimme zu;Ökologische Landwirtschaft mit kurzen Transportwegen ist die Grundlage für eine nachhaltige Versorgung der Stadt. Deshalb unterstützen wir die Förderung von Direktvermarktung, um nachhaltigen Betrieben den Wettbewerb mit konventionell produzierten Produkten zu ermöglichen.
Stimme zu;Durch den Ausbau von Foodsharing und ähnlichen Systemen soll der Verschwendung von Lebensmitteln entgegengetreten werden. Um das Abfallaufkommen weiter zu senken, müssen außerdem Verpackungen in Supermärkten reduziert werden und/oder verpackungsfreie Supermärkte stärker etabliert werden.
Verdoppelung;Durch Information und Bildung kann den Menschen die Wichtigkeit von richtigem Recycling näher gebracht werden. Dazu könnte bereits in Schulen ansetzten werden, wo den Kindern und Jugendlichen in regelmäßigen Abständen Themen zu Nachhaltigkeit und Umweltschutz näher gebracht werden.
Stimme zu;
Stimme zu;Um Menschen einen klimaschonenden Lebensstil zu erleichtern, müssen im Handel die Rahmenbedingungen dafür geschaffen werden. Zu oft hat der Verbraucher z.B. im Gemüseregal keine Möglichkeit auf verpackungsfreie Produkte zuzugreifen. Außerdem können an Frischetheken Anreize geschaffen werden, indem durch den Einsatz von Mehrwegverpackungen eine Preisreduzierung gewährt wird (ähnlich dem Konzept zur Vermeidung von Kaffeebechern).
