Nein;Stattdessen soll der Bereich innerhalb des Grabenrings weitestgehend Anliegern vorbehalten bleiben. Parkhäuser sind ausgenommen.
Stimme zu;Solange die Regiotram nicht etabliert ist, sind Busse der optimale Ansatz. Dies ist für das oben beschriebene Modell zum obligatorischen Jobticket eine Grundvoraussetzung.
5-15%;Die Reduktion von Stellplätzen folgt aus der Umgestaltung des Straßenraums für Fußgänger und RadfahrerInnen. Wir streben die Reduktion nicht als Selbstzweck an, sondern sehen sie als logische Folge z.B. des von uns frühzeitig unterstützten Radentscheids und der Befreiung des Grabenrings von Nicht-Anliegern.
Stimme zu;Teile des Richtericher Dells (Klimaschutzsiedlung Richtericher Dell) sind entsprechend geplant. Das Quartier der Luisenhöfe bietet sich ebenfalls an.
Stimme nicht zu;Der Wohnungsbedarf in Aachen ist dafür zu groß. Allerdings sollen Anreizsysteme für private Grundstückseigentümer entwickelt werden, um im Sinne der Nachverdichtung die Bereitschaft der Eigentümer zu steigern Baulücken zur Verfügung zu stellen, damit diese sinnvoll und nachhaltig entwickelt werden können. Daneben sollen Dachausbauten und Aufstockungsmöglichkeiten nicht außer acht gelassen werden, weil so flächensparend zusätzlicher, dringend notwendiger, Wohnraum geschaffen werden kann. Jede städtebauliche Maßnahme soll auf ihre Klimaverträglichkeit geprüft werden, da Klimaschutz auch im Bereich der Stadtentwicklung absolute Priorität hat. Das gilt auch für die Planung und Entwicklung von Gewerbeflächen innerhalb der Stadtgrenzen. Es muss verstärkt darauf geachtet werden, dass die Gebäude mehr in die Höhe (kompakte Bauweise) und nicht in die Fläche errichtet werden.
Stimme zu;Hierzu wurden bereits einzelne Musterprojekte durchgeführt. U.a. durch die STAWAG (EU-GUGLE). Altbau plus unterstützt EigentümerInnen und die Stadt selbst geht mit gutem Beispiel voran.
Stimme zu;Allerdings nicht vollständig: Wir geben beim Verkauf oder anderweitiger Vergabe städtischer Grundstücke erhebliche Auflagen mit, s. http://www.aachen.de/DE/stadt_buerger/energie/gebaeude_effizienz/energetische_auflagen/index.html Diese Vorgaben sollen zukünftig um den Aspekt des ressourcenschonenden Bauens ergänzt werden und auch bei Grundstücksverkäufen der Stadt sollen Nachhaltigkeitsaspekte mit eine Rolle spielen, z.B. verpflichtende Energieberatung. Darüber hinaus gibt es seit kurzem ein Förderprogramm für Fassadenbegrünung, siehe Ratsantrag 569/17.
Stimme zu;Diesen Vorschlag haben wir zusätzlich in unseren Programmprozess aufgenommen.
Stimme nicht zu;Die Verbesserung des Stadtklimas hat für uns große Priorität. Deshalb setzen wir uns u.a. für mehr Stadtbegrünung ein, bestehende Bodenflächen sollen entsiegelt und bei Neuanlagen eine Versiegelung vermieden werden. Daneben sollen mehr Aachener Bäche ans Licht geholt werden, da diese das Mikroklima verbessern. Allerdings können wir nicht pauschal zusagen, stadtökologische und stadtklimatische Aspekte immer zu 100 % zu berücksichtigen, dafür ist der Wohnungsmarkt, insb. für Sozialwohnungen und der Konflikt zum Freiflächenverbrauch zu angespannt.
Stimme zu;Es gibt seit vielen Jahren eine politische Beschlusslage, wonach freiwerdende städtische bzw. landwirtschaftliche Flächen grundsätzlich an biologische arbeitenden Landwirte verpachtet werden.
Stimme zu;Hierzu sind bereits erste Beschlüsse gefasst. Ansonsten findet sich in dem von Ihnen selbst genannten Link die entsprechende Begründung.
Stimme zu;Wir setzen uns natürlich dafür ein, allerdings handelt es sich hier um eine Aufgabe der Verwaltung und liegt somit nicht in der Beschlusshoheit der Politik. Insbesondere muss dies einvernehmlich mit den jeweiligen Gremien der Mitbestimmung (Personalräte, Schulkonferenzen, Elternvertretungen) erfolgen, wenn es Aussicht auf Erfolg haben soll. Eine Bevormundung durch die Politik ist zum Glück rechtlich nicht möglich und wäre mit Sicherheit kontraproduktiv.
Stimme zu;Unter der Voraussetzung, dass die Verkehrssicherheit eingehalten und die Bewirtschaftung nicht eingeschränkt wird.
Stimme zu;Konkret erarbeiten wir ein Konzept zur Stärkung der Wochenmärkte als wichtigstes, kundennahes Direktvermarktungssystem.
Stimme zu;Die Stadt Aachen ist bei den Abfallmengen pro Kopf bereits vorbildlich aufgestellt. In Aachen liegen wir bei ca. 20 l/WxEW, was deutlich unter dem Volumen vergleichbarer Städte liegt. Dies wird u.a. begründet sein in der guten Informationskampagne des Stadtbetriebs, die bereits seit Jahren in Kitas und Schulen die Mülltrennung erklären.
-;siehe Recycling I, Die Quote lässt sich dabei leider nicht per Ratsbeschluss festlegen.
Stimme zu;Die bereits existierenden Trinkbrunnen sollten besser beworben werden. Darüber hinaus ist bereits beschlossen, weitere Brunnen der Stadt mit Trinkwasser zu versorgen und somit ohne Mehraufwand weitere Trinkstellen zu eröffnen.
Stimme zu;Um dauerhaft Müll zu reduzieren und Ressourcen zu schonen, muss nicht nur der Handel, sondern auch die Verbraucher mitgenommen werden. Hierzu soll eine Aufklärungskampagne gestartet werden, wobei die Informationsarbeit auch an Schulen geleistet werden soll.
