Nein;Sowohl Berufstätigen, als auch Kunden/Patienten als auch Touristen muss es möglich sein in die Innenstadt zu gelangen. Da es in den Außenbereichen z.Zt. keine Parkhäuser gibt und auch keine in Planung sind, kann dieses Ziel nicht erreicht werden. Geschäfte und Firmen müssen beliefert werden können. Allerdings muss der Lieferdienst stark eingeschränkt werden. Es muss ein wirksames Konzept entwickelt werden mit dem die Innenstadt mit nur einem Lieferdienst erreicht werden kann und das zu einem Kunden nicht gleichzeitig mehrere Lieferdienste unterwegs sind.
Stimme zu;Wie oben schon erwähnt, teilen wir die Ideen der Städteregion Aachen und unterstützen die Regiotram.
Keine Reduktion;Bis 2025 werden die oben bereits erwähnten Mobilitätskonzepte nicht realisiert sein. Dennoch müssen die Menschen aus unterschiedlichen Gründen die Innenstadt erreichen. Auch wohnen doch auch noch zahlreiche Bürger in der Innenstadt. Wenn wir nicht nach Geschäftsschluss menschenleere Innenstädte haben wollen, müssen wir den Bürgern ermöglichen ihre Fahrzeuge abzustellen. Es ist aus unserer Sicht nicht möglich den Anwohnern lange Fußwege nach „außen“ zuzumuten, damit sie zu ihrem Auto (auch Elektro) gelangen, mit welchem sie dann zur Arbeitsstätte fahren oder auch ihre Kinder zu ihren Freizeitmöglichkeiten (Sportstätten) bringen können.
Stimme zu;Dort wo Bürgerinitiativen dies wünschen und fordern (siehe Frankenberger Viertel) soll dies möglich. Allerdings muss das dann auch mit der Verpflichtung verbunden sein, kein Auto anzuschaffen (auch hier wieder: Auch kein Elektroauto denn die brauchen auch Parkflächen).
Stimme nicht zu;Das muss im Einzelfall bei der Genehmigung betrachtet werden, generell lehnen wir das ab. Man sieht auch derzeit mit welchen Problemen gekämpft werden muss um eine vernünftige Verdichtung von einzelnen Innenstadtbereichen zu erreichen.
Stimme zu;Langfristig stimmen wir damit überein, dass eine Wärmeversorgung durch fossile Brennstoffe schrittweise gegen 0 gehen muss. Im Gegenzug muss die Wärmegewinnung aus erneuerbaren Energien zunehmen. Zur Reduktion der Wärmeverluste stimmen wir einer freiwilligen Bestandssanierung zu.
Stimme nicht zu;Hier ein eindeutiges Ja oder Nein zu benennen ist nicht möglich. Jede der genannten Möglichkeiten muss einzeln betrachtet und bewertet werden.<br>Da die Sandresourcen dramatisch schwinden, muss nach Alternativen für Beton gesucht werden. Ob wir die Alternative in Holz sehen, ist noch unklar (Bitte beachten: Holzhäuser an der Ostküste der USA werden mit Chemiekeulen haltbar gemacht, dies dient nicht dem Naturschutz und fördert auch nicht die Gesundheit der Bewohner. Geschlossene Wertstoffkreisläufe begrüßen wir Dach- und  Fassadenbegrünung halten wir wichtig für Insektenschutz und Mikroklima.
Stimme nicht zu;Es ist klar, beste natürliche CO2-Fänger sind Bäume. Aber man muss den Menschen auch eine gewisse Eigenverantwortung zutrauen. Kein Mensch pflanzt einen Baum mit der Absicht ihn bald wieder umzuhauen (außer bei dem Anbau von Nutzholz). Dies wird aber mit einer strengeren Baumschutzsatzung erreicht. Ein gesunder Baum erhält dann keine Möglichkeit sich zu entwickeln und groß zu werden, Er wird gefällt bevor er die Größe erreicht hat, die dann ein Fällen unmöglich macht. Ob es nun notwendig ist oder nicht.
Stimme zu;Da Aachen geographisch betrachtet eine „Kessellage“ einnimmt, spielen Kaltluftschneisen und innerstädtisches Mikroklima eine sehr große Rolle um das Stadtklima zu verbessern. Bei großen Bauvorhaben ist zu prüfen, ob alle Lagen „im Kessel“ weiterhin mit ausreichend Frischluft und in einer Sommernacht mit „Kühle“ versorgt werden können. Dies passiert aber auch heute schon. Es gibt seit 2000 ein gesamtstädtisches Klimagutachten, dass allen Bauvorhaben beachtet wird.
Stimme nicht zu;Ausschließlich: Nein! Die Corona-Krise zeigt gerade, was für eine wichtige Rolle regionale Produkte für eine Nahversorgung spielen. Rein ökologischer Anbau ist für große Teile der Bevölkerung nicht bezahlbar. Und in Jahren in denen es Insektenplagen/Dürren/ Überschwemmungen gibt, erscheint es uns wichtig, dass die Bevölkerung mit herkömmlicher „Standart-Landwirtschaft“ ausreichend versorgt werden kann. Wir würden einen „Mix“ empfehlen.
Stimme zu;Es muss Ausnahmen geben: z.B. die oben erwähnten verpachteten Flächen, die der Versorgung der Bevölkerung dienen sollen.
Stimme nicht zu;Der Kostenfaktor für Familien würde zu groß werden. Die Menschen sollen frei entscheiden können was sie Essen und Trinken wollen. Eine Überfrachtung in diesem Bereich mit Verordnungen und Geboten ist für uns nicht machbar. Ein zusätzliches Angebot eines solchen Gerichtes würden wir befürworten.
Stimme zu;Totholz trägt einen hohen Beitrag zur Biodiversität bei. Aachen hat schon seit längerer Zeit eine zertifizierte Forstwirtschaft und ist auf einem guten Weg.
Stimme nicht zu;In „Corona-Zeiten“ ist sehr deutlich zu erkennen, dass immer mehr Bürgerinnen und Bürger die „Hofläden“ nutzen. Wir glauben, dass dieses Interesse auch nach der Krise bei vielen erhalten bleibt, die in der Lage sind, die teureren Produkte (aber auch deutlich besseren Produkte) zu kaufen. Wir glauben, dass dies der freie Markt regelt.
Stimme zu;Werbestrategie der Stadt AC zur Aufklärung der Bürger, wie sie den täglichen Abfall reduzieren können. Aufbau einer digitalen Struktur durch die Stadt, wo Bürger „größeren“ Abfall (Baustoffe, Möbel etc.pp.) verkaufen können. Unterstützung von VHS und ähnlichen Einrichtungen bei der Planung von „Upcycling-Kursen“
-;Viele Recycling-Verfahren haben sich leider als nicht effizient erwiesen. Neuen Verfahren gegenüber sind wir aufgeschlossen und würden deren Einsatz begrüßen. Eine Zahlenmäßig angegebene Erhöhung der Recyclingquote erscheint uns nicht sinnvoll und es hängt natürlich auch von der Art des Mülls ab. Es ist nicht alles recyclingbar!
Stimme zu;Da sich die Hygieneregeln bis zur Entwicklung eines Impfstoffes nicht ändern werden, halten wir es für unerlässlich im Innenstadt-Bereich Wasser zum Händewaschen in ausreichender Menge zur Verfügung zu stellen.
Stimme zu;Eine Unterstützung durch die Stadt Aachen ist wünschenswert, eine Forderung lehnen wir ab. Wenn die Stadt durch entsprechende Aufklärungskampagnen die Bürgerinnen und Bürger informiert, gehen wir davon aus, dass die Kunden sich in der Mehrzahl sowieso für das verpackungsarme Produkt entscheiden.
